Time resolution is 1 ps
Starting exhaustive test for 4x4 multiplier...
PASS: A=11 B=10 | P=110
PASS: A=11 B=11 | P=121
PASS: A=11 B=12 | P=132
PASS: A=11 B=13 | P=143
PASS: A=11 B=14 | P=154
PASS: A=11 B=15 | P=165
PASS: A=12 B=0 | P=0
PASS: A=12 B=1 | P=12
PASS: A=12 B=2 | P=24
PASS: A=12 B=3 | P=36
PASS: A=12 B=4 | P=48
PASS: A=12 B=5 | P=60
PASS: A=12 B=6 | P=72
PASS: A=12 B=7 | P=84
